t,ax,ay,az,gx,gy,gz
0.000000,-0.071480744,0.048197314,9.904960632,-0.000579290,-0.000059447,0.000151203
0.019000,-0.071480744,0.052988268,9.909751892,-0.000579290,-0.000059447,0.000151203
0.040000,-0.076271698,0.062570184,9.900169373,0.000484605,-0.000069723,0.000150160
0.060000,-0.085853614,0.052988268,9.909751892,0.000484605,-0.000069723,0.000150160
0.099000,-0.066689789,0.043406360,9.900169373,-0.000581637,-0.000080157,0.000144691
0.119000,-0.066689789,0.052988268,9.904960632,0.000483738,-0.000091427,0.000137042
0.139000,-0.066689789,0.052988268,9.909751892,0.000483738,-0.000091427,0.000137042
0.160000,-0.081062660,0.048197314,9.900169373,-0.000581055,-0.000096896,0.000133006
0.181000,-0.076271698,0.052988268,9.904960632,-0.000580098,-0.000106507,0.000124896
0.219000,-0.057107870,0.038615398,9.900169373,0.000485350,-0.000114219,0.000117111
0.240000,-0.076271698,0.043406360,9.900169373,0.000485350,-0.000114219,0.000117111
0.260000,-0.095435530,0.067361146,9.904960632,0.000484538,-0.000116941,0.000113443
0.281000,-0.085853614,0.057779230,9.895379066,-0.000584349,-0.000119647,0.000106693
0.321000,-0.061898828,0.048197314,9.900169373,0.000476218,-0.000118137,0.000100823
0.362000,-0.076271698,0.052988268,9.909751892,-0.000591081,0.000949299,-0.000967182
0.401000,-0.061898828,0.057779230,9.895379066,0.000468938,-0.000108396,0.000090343
0.422000,-0.066689789,0.038615398,9.904960632,-0.000597957,-0.000106719,0.000088330
0.462000,-0.085853614,0.062570184,9.895379066,-0.000599800,-0.000103562,0.000084978
0.502000,-0.071480744,0.052988268,9.890587807,-0.000600383,-0.000100378,0.000081053
0.541000,-0.071480744,0.038615398,9.904960632,0.000464737,-0.000098834,0.000078732
0.562000,-0.081062660,0.062570184,9.900169373,-0.000600428,-0.000095922,0.000074458
0.602000,-0.066689789,0.043406360,9.909751892,0.000466542,-0.000092417,0.000071157
0.622000,-0.071480744,0.048197314,9.904960632,0.000467610,-0.000089711,0.000069357
0.642000,-0.081062660,0.052988268,9.895379066,0.000467610,-0.000089711,0.000069357
0.662000,-0.081062660,0.052988268,9.904960632,-0.000596742,-0.000086610,0.000067462
0.682000,-0.076271698,0.048197314,9.909751892,-0.000595190,-0.000080083,0.000063555
0.703000,-0.061898828,0.048197314,9.900169373,-0.000594089,-0.000076781,-0.001003653
0.741000,-0.076271698,0.057779230,9.900169373,-0.000592433,-0.000073523,0.000059861
0.763000,-0.076271698,0.057779230,9.895379066,0.000475389,-0.000070348,-0.001006654
0.804000,-0.071480744,0.057779230,9.900169373,0.000489627,-0.000061612,0.000059884
0.843000,-0.066689789,0.052988268,9.904960632,0.000502643,-0.000056626,0.000064730
0.863000,-0.081062660,0.067361146,9.900169373,0.000502643,-0.000056626,0.000064730
0.883000,-0.090644568,0.052988268,9.900169373,0.000509477,-0.000054259,0.000067770
0.903000,-0.076271698,0.038615398,9.904960632,-0.000543262,-0.000047970,0.000073403
0.923000,-0.061898828,0.043406360,9.900169373,0.000527647,-0.000043712,0.000075819
0.963000,-0.066689789,0.062570184,9.904960632,-0.000532201,-0.000038899,0.000077978
0.985000,-0.076271698,0.048197314,9.895379066,0.000538206,-0.000033690,0.000079890
1.025000,-0.071480744,0.048197314,9.904960632,0.000547415,-0.000022628,0.000083027
1.065000,-0.076271698,0.052988268,9.900169373,0.000551011,-0.000016997,0.000084279
1.085000,-0.090644568,0.043406360,9.904960632,0.000555009,-0.000005969,0.000086229
1.124000,-0.061898828,0.062570184,9.895379066,0.000550755,0.000008360,0.000088741
1.144000,-0.057107870,0.048197314,9.900169373,0.000550755,0.000008360,0.000088741
1.165000,-0.081062660,0.038615398,9.909751892,0.000547877,0.000011741,0.000090179
1.206000,-0.071480744,0.067361146,9.904960632,0.000541097,0.000016422,0.000094067
1.246000,-0.061898828,0.043406360,9.900169373,0.000522245,0.000019367,-0.000962016
1.285000,-0.090644568,0.057779230,9.895379066,0.000512535,0.000019532,0.000106315
1.306000,-0.090644568,0.057779230,9.900169373,-0.000576446,0.000018986,0.000111873
1.325000,-0.066689789,0.052988268,9.900169373,-0.000576446,0.000018986,0.000111873
1.345000,-0.061898828,0.038615398,9.900169373,0.000461420,0.000017600,-0.000948650
1.365000,-0.066689789,0.038615398,9.904960632,0.000461420,0.000017600,-0.000948650
1.386000,-0.071480744,0.052988268,9.900169373,0.000435037,0.001080960,0.000121427
1.405000,-0.071480744,0.072152101,9.900169373,0.000422749,0.000014480,0.000124773
1.426000,-0.076271698,0.052988268,9.900169373,0.000410661,0.000012789,0.000128851
1.447000,-0.071480744,0.033824444,9.900169373,0.000410661,0.000012789,0.000128851
1.486000,-0.081062660,0.062570184,9.890587807,0.000386167,0.000007948,0.000138509
1.506000,-0.085853614,0.062570184,9.914543152,0.000362089,0.000001880,0.000149224
1.527000,-0.071480744,0.048197314,9.895379066,0.000362089,0.000001880,0.000149224
1.546000,-0.066689789,0.038615398,9.904960632,-0.000714680,-0.000001393,0.000154690
1.566000,-0.061898828,0.052988268,9.890587807,0.000339731,-0.000004728,0.000160112
1.586000,-0.066689789,0.057779230,9.900169373,0.000321348,-0.000011366,0.000170545
1.607000,-0.071480744,0.052988268,9.900169373,-0.000751094,-0.000014578,-0.000889963
1.648000,-0.061898828,0.038615398,9.904960632,0.000308081,-0.000017673,0.000179519
1.687000,-0.081062660,0.062570184,9.904960632,0.000298390,-0.000023415,0.000187047
1.727000,-0.081062660,0.048197314,9.904960632,0.000291587,-0.000028611,0.000192957
1.747000,-0.057107870,0.048197314,9.904960632,-0.000776151,-0.000031437,0.000194826
1.767000,-0.057107870,0.048197314,9.904960632,-0.000777938,-0.000034580,0.000196038
1.787000,-0.061898828,0.057779230,9.895379066,0.000286604,-0.000037945,0.000196529
1.807000,-0.071480744,0.048197314,9.909751892,-0.000778018,-0.000041446,0.000196101
1.827000,-0.085853614,0.043406360,9.895379066,0.000289328,-0.000045009,0.000194756
1.847000,-0.071480744,0.052988268,9.904960632,0.000292740,-0.000048575,0.000192662
1.868000,-0.061898828,0.038615398,9.900169373,0.000296909,-0.000052091,0.000189971
1.887000,-0.061898828,0.052988268,9.904960632,0.000301189,-0.000055513,0.000186666
1.909000,-0.085853614,0.052988268,9.900169373,0.000305347,-0.000058809,0.000182432
1.948000,-0.071480744,0.052988268,9.904960632,0.000313144,-0.000064174,0.000170546
1.968000,-0.057107870,0.062570184,9.900169373,0.000316728,-0.000065855,0.000163275
1.988000,-0.061898828,0.052988268,9.895379066,0.000319925,-0.000066925,0.000155443
2.008000,-0.071480744,0.052988268,9.904960632,0.000324048,0.000997696,0.000138883
2.029000,-0.085853614,0.052988268,9.904960632,0.000324048,0.000997696,0.000138883
2.049000,-0.081062660,0.057779230,9.904960632,0.000323835,-0.000067596,0.000122179
2.088000,-0.057107870,0.043406360,9.895379066,0.000318340,0.000995258,0.000106256
2.110000,-0.081062660,0.043406360,9.895379066,0.000313474,-0.000072306,0.000098790
2.149000,-0.071480744,0.043406360,9.909751892,0.000299469,0.000985723,0.000084356
2.189000,-0.076271698,0.043406360,9.900169373,-0.000774730,-0.000084395,0.000077096
2.209000,-0.071480744,0.048197314,9.900169373,0.000270999,-0.000096618,0.000063022
2.228000,-0.057107870,0.062570184,9.900169373,0.000270999,-0.000096618,0.000063022
2.250000,-0.081062660,0.062570184,9.900169373,0.000261294,0.000962021,0.000056812
2.271000,-0.071480744,0.048197314,9.904960632,0.000261294,0.000962021,0.000056812
2.311000,-0.061898828,0.057779230,9.909751892,-0.000833721,-0.000122929,0.000044787
2.351000,-0.095435530,0.052988268,9.904960632,0.000199702,-0.000143744,0.000045142
2.370000,-0.066689789,0.038615398,9.900169373,0.000199702,-0.000143744,0.000045142
2.390000,-0.052316912,0.048197314,9.900169373,0.000182583,-0.000157325,0.000050619
