t_ms,ax,ay,az,gx,gy,gz
0,0.634098,-1.797010,11.586047,78.890625,29.500000,-18.625000
83,0.634098,-1.797010,11.586047,78.890625,29.500000,-18.625000
167,1.014557,-3.002992,11.205588,40.140625,-31.296875,-38.328125
250,0.040678,-2.979064,11.581261,4.921875,-30.765625,-34.203125
333,-0.811167,-1.916651,11.954542,46.687500,17.609375,-18.171875
417,0.095713,-1.371087,10.100104,85.000000,-12.875000,-4.875000
500,-0.705883,-1.186840,11.392228,84.593750,25.171875,-5.156250
583,0.102891,-3.050849,9.549755,-27.015625,-50.062500,-24.656250
667,0.095713,-1.021735,7.824530,-49.203125,56.718750,33.359375
750,-0.476172,-2.057827,9.207581,-95.859375,75.343750,21.859375
833,0.818345,-2.105684,9.267402,41.453125,-51.250000,-17.250000
917,-0.550349,-3.153740,10.018748,-88.156250,-8.218750,-17.421875
1000,-0.660419,-3.041278,10.057033,-115.000000,46.062500,1.390625
1083,0.533599,-2.385644,10.753345,8.546875,-52.546875,-29.375000
1167,0.736989,-2.538785,10.616954,-6.062500,-91.796875,-28.437500
1250,-0.074178,-2.309074,11.547762,3.109375,-76.093750,-10.296875
1333,-0.780060,-2.100898,11.892328,14.203125,-15.500000,14.140625
1417,-0.717847,-2.122434,11.062019,3.812500,46.937500,25.171875
1500,-0.332602,-1.998007,12.062219,29.921875,-1.125000,-22.828125
1583,0.172283,-1.581656,6.900900,-57.515625,41.421875,-16.515625
1667,0.334995,-1.330409,5.924629,-71.718750,6.765625,-33.453125
1750,-0.062213,-1.359123,7.137790,-52.859375,10.125000,-23.968750
1833,-0.485743,-1.153340,9.638289,4.359375,45.796875,-6.000000
1917,-0.277567,-0.693919,11.767902,65.703125,63.078125,-3.437500
2000,-0.260818,-1.983650,9.195617,-26.296875,68.484375,11.343750
2083,-0.751346,-1.002593,9.121440,50.625000,43.828125,29.234375
2167,-0.330210,-1.478764,7.570891,34.000000,66.812500,24.656250
2250,0.323031,-1.940579,6.276374,-16.171875,37.875000,4.703125
2333,0.784846,-2.266003,6.451050,-68.546875,-14.109375,-11.718750
2417,0.459422,-2.100898,8.286345,-86.484375,-38.234375,-11.578125
2500,-0.794417,-0.636491,11.155339,5.359375,45.906250,-12.281250
2583,-0.849452,-0.581456,11.461620,37.421875,71.812500,-18.796875
2667,0.679562,-2.275574,9.358329,2.781250,-20.937500,-37.093750
2750,0.636491,-2.395215,9.937392,-5.828125,-49.312500,-39.281250
2833,-0.789631,-1.758725,12.655639,30.734375,8.703125,-25.062500
2917,-0.162712,-1.517050,10.315458,28.453125,39.234375,-27.265625
3000,-0.267996,-2.024328,11.662617,10.609375,-25.625000,-33.421875
3083,-0.574277,-2.864209,11.799008,16.515625,12.703125,29.000000
3167,-0.392423,-2.139183,11.540583,58.421875,42.703125,35.000000
3250,0.179462,-2.557927,11.885150,-14.359375,8.843750,24.187500
