t,az
0.000000,9.991197586
0.030000,9.871423721
0.057000,9.885796547
0.089000,9.885796547
0.110000,9.885796547
0.130000,9.881006241
0.149000,9.885796547
0.170000,9.881006241
0.189000,9.885796547
0.210000,9.890587807
0.230000,9.890587807
0.250000,9.885796547
0.274000,9.885796547
0.311000,9.881006241
0.331000,9.885796547
0.352000,9.890587807
0.391000,9.881006241
0.412000,9.890587807
0.434000,9.881006241
0.472000,9.881006241
0.492000,9.890587807
0.533000,9.890587807
0.553000,9.885796547
0.593000,9.885796547
0.633000,9.885796547
0.653000,9.895379066
0.673000,9.881006241
0.693000,9.895379066
0.713000,9.885796547
0.734000,9.895379066
0.754000,9.890587807
0.795000,9.890587807
0.834000,9.890587807
0.854000,9.890587807
0.875000,9.885796547
0.894000,9.881006241
0.914000,9.885796547
0.935000,9.881006241
0.955000,9.881006241
0.975000,9.924124718
1.015000,10.182836533
1.035000,9.689367294
1.055000,10.005570412
1.076000,9.818723679
1.095000,9.919333458
1.136000,9.909751892
1.176000,9.900169373
1.216000,9.895379066
1.256000,9.895379066
1.276000,9.895379066
1.297000,9.895379066
1.317000,9.900169373
1.337000,9.890587807
1.357000,9.900169373
1.377000,9.890587807
1.417000,9.895379066
1.437000,9.885796547
1.457000,9.900169373
1.477000,9.885796547
1.497000,9.895379066
1.517000,9.890587807
1.538000,9.890587807
1.578000,9.890587807
1.598000,9.900169373
1.618000,9.900169373
1.638000,9.895379066
1.658000,9.890587807
1.678000,9.885796547
1.698000,9.890587807
1.738000,9.890587807
1.758000,9.900169373
1.779000,9.885796547
1.819000,9.895379066
1.859000,9.900169373
1.879000,9.890587807
1.900000,9.895379066
1.939000,9.890587807
1.959000,9.900169373
1.979000,9.885796547
2.000000,9.909751892
2.019000,9.881006241
2.040000,9.900169373
2.060000,9.895379066
2.080000,9.900169373
2.100000,9.885796547
2.140000,9.895379066
2.160000,9.895379066
2.181000,9.895379066
2.220000,9.895379066
2.242000,9.895379066
2.263000,9.895379066
2.301000,9.881006241
2.321000,9.900169373
2.342000,9.881006241
2.362000,9.895379066
2.382000,9.895379066
2.402000,9.900169373
2.442000,9.895379066
2.462000,9.885796547
2.482000,9.900169373
2.502000,9.890587807
2.522000,9.890587807
2.542000,9.885796547
2.562000,9.885796547
2.583000,9.900169373
2.603000,9.900169373
2.623000,9.900169373
2.663000,9.895379066
2.683000,9.895379066
2.703000,9.890587807
