t,ax,ay,az,gx,gy,gz
0.000000,0.441151649,0.680603623,8.438927650,-1.057877779,0.562278986,-0.108541742
0.038000,-0.564949274,-0.172186717,10.000780106,-1.064269304,0.597432673,-0.125585958
0.058000,-0.622440815,-0.445271254,11.428484917,-1.110075593,0.654956937,-0.049952239
0.079000,-0.526621640,-0.751892507,12.928054810,-1.205949306,0.729525387,0.073618323
0.101000,-0.421220630,-0.938739836,14.135375977,-1.217667222,0.735916972,0.066161476
0.138000,-0.713468969,-1.849021673,15.251668930,-0.938568234,0.374792606,0.010767779
0.159000,-0.924271107,-1.647801518,15.706809998,-0.811801851,0.130847260,-0.015863810
0.178000,-0.857197702,-1.724456787,16.056549072,-0.757473409,-0.005506475,0.003310934
0.199000,-0.469130188,-1.896931291,16.262559891,-0.674382865,-0.103510715,0.059769895
0.220000,-0.162508920,-2.040659904,16.023012161,-0.451742798,-0.167426527,0.053378321
0.258000,-0.157717973,-1.791530252,14.719872475,0.140543714,-0.362369776,-0.095758580
0.279000,-0.176881790,-1.537609458,14.006019592,0.371705890,-0.480614007,-0.092562787
0.302000,-0.042734999,-1.317225456,13.167602539,0.591150224,-0.536007702,-0.059539612
0.322000,0.048293184,-1.302852631,12.362721443,0.826573431,-0.510441363,-0.070192255
0.361000,0.771727741,-0.603372872,10.154090881,1.234569430,-0.495527714,-0.064865932
0.401000,0.781309664,-0.081158526,7.289098263,1.395424128,-0.637207747,-0.121324904
0.440000,0.810055375,0.522502065,4.610953331,1.271853566,-0.518963456,-0.088301733
0.480000,1.428088903,1.552557826,4.026456356,0.795680821,-0.167426527,0.003310934
0.503000,1.696382403,1.595676422,3.877936840,0.502733350,-0.052378070,0.050182529
0.540000,1.351433516,0.905778646,3.868354797,0.053192113,0.067996711,0.021420415
0.561000,1.068767071,1.231563687,4.218094826,-0.197144821,0.167066216,-0.011602756
0.582000,1.111885667,1.106998801,5.099630833,-0.540159643,0.258678883,0.051247794
0.622000,0.728609085,0.326072812,7.183697224,-1.046159863,0.468535781,0.091727801
0.641000,0.287841022,-0.176977664,8.299989700,-1.062138796,0.537777960,0.074683584
0.661000,0.297422945,-0.157813847,9.737277031,-1.044029236,0.586780071,0.117294125
0.700000,1.006484628,-1.264524937,12.568733215,-1.003549337,0.447230518,0.233407855
0.722000,0.465106457,-1.250152111,13.392777443,-1.001418710,0.226720974,0.089597277
0.761000,-0.608067930,-0.814174950,14.422833443,-0.995027184,0.069061980,0.093858324
0.802000,0.148903295,-1.456163168,14.207240105,-0.187557444,0.229916766,0.034203578
0.822000,0.220767632,-1.681338191,13.823964119,-0.019245807,0.061605129,0.013963568
0.842000,0.220767632,-1.681338191,13.579625130,-0.019245807,0.061605129,0.013963568
0.881000,0.100993723,-1.810693979,13.661070824,-0.133229017,-0.281409740,0.041660421
0.903000,0.407614946,-1.796321154,13.641907692,0.148000568,-0.308041334,0.004376197
0.924000,0.666326642,-1.695711017,13.507760048,0.368510097,-0.351717144,-0.035038553
0.944000,0.666326642,-1.585519075,13.225093842,0.551735461,-0.424155056,-0.033973288
0.983000,0.781309664,-1.278897762,11.902790070,0.736026049,-0.495527714,-0.059539612
1.004000,0.627999008,-0.957903683,11.131445885,0.929904044,-0.547725618,-0.122390166
1.043000,0.766936779,-0.426107436,8.985096931,1.321920991,-0.501919270,-0.172457546
1.063000,0.728609085,-0.311124474,7.792148590,1.321920991,-0.501919270,-0.172457546
1.083000,0.872337818,-0.018876085,6.718974113,1.356009483,-0.416698217,-0.179914385
1.104000,1.269987226,0.479383469,5.885347843,1.302746296,-0.347456068,-0.104280688
1.125000,1.562235594,0.944106281,5.363133430,1.169588327,-0.292062372,-0.035038553
1.163000,1.605354309,1.178863168,4.380987167,0.854270279,-0.097119138,-0.043560661
1.205000,1.643681884,1.495066404,3.676716566,0.286484808,0.224590451,-0.037169080
1.225000,1.552653670,1.499857306,3.700671434,-0.018180542,0.307680994,-0.033973288
1.245000,1.399343133,1.413620114,4.064784050,-0.018180542,0.307680994,-0.033973288
1.284000,1.001693606,1.063880205,5.641008854,-0.575313330,0.487710536,-0.008406965
1.323000,-0.128972232,0.781213760,7.696329594,-1.006745100,0.403554708,0.073618323
1.344000,-1.135073185,0.532083988,8.654520988,-1.026985049,0.551626384,0.222755224
1.364000,-1.111118436,0.153598368,9.967243195,-1.026985049,0.551626384,0.222755224
1.384000,-0.847615778,0.187135071,11.236846924,-0.954547167,0.795571744,0.317563653
1.405000,-0.526621640,0.129643589,12.333975792,-0.860803962,0.844573855,0.382544726
1.424000,0.307004869,-0.033248957,13.263422012,-0.694622874,0.924468577,0.495462686
1.447000,1.059185147,-0.588999987,13.819172859,-0.500744939,1.049104333,0.281344712
1.485000,0.508225083,-0.962694645,14.346178055,-0.342020661,0.870140135,0.061900426
1.505000,-0.138554141,-0.866875470,14.633635521,-0.399544895,0.400358915,0.012898306
1.526000,-0.627231717,-0.847711682,15.184595108,-0.598749161,-0.040660169,0.008637251
1.546000,-1.182982802,-0.838129759,15.812211037,-0.737233400,-0.285670787,-0.080844887
1.586000,-1.288383842,-0.670446277,16.099668503,-0.342020661,-0.435872942,-0.054213293
1.625000,-1.101536512,-0.646491468,13.929365158,0.955470324,-0.297388703,0.007571988
1.646000,-0.617649853,-0.569836140,12.731625557,0.955470324,-0.297388703,0.007571988
1.685000,-0.023571171,-0.521926582,9.631875992,1.482775807,-0.369826615,0.109837279
1.706000,0.292631984,-0.172186717,7.878386021,1.559474707,-0.324020267,0.097054116
1.728000,0.666326642,0.029033486,6.412353039,1.520060062,-0.270757109,0.088532008
1.766000,1.102303743,0.383564323,4.428896904,1.107802987,-0.146121249,0.038464632
1.786000,1.092721820,0.694976509,4.625326157,0.739221871,-0.184470743,-0.004145911
1.807000,1.111885667,1.044716358,5.458952427,-0.258930117,-0.284605533,0.007571988
1.828000,1.236450553,0.786004722,6.805211544,-0.643490195,-0.246256024,-0.017994337
1.847000,1.317896843,0.613530278,8.601819992,-0.643490195,-0.246256024,-0.017994337
1.887000,1.499953151,0.838705242,12.568733215,-1.085574627,-0.384740293,-0.060604878
1.907000,1.504744172,0.939315319,13.555669785,-1.033376694,-0.688340366,-0.143695429
1.927000,1.068767071,0.613530278,14.001229286,-0.714862883,-0.717102468,-0.276853383
1.947000,0.484270245,0.656648874,13.814381599,-0.714862883,-0.717102468,-0.276853383
1.987000,0.316586763,1.221981764,12.022563934,0.088345811,-0.635077178,-0.217198610
2.007000,0.398033053,1.279473305,10.120553970,0.471840680,-0.453982443,-0.208676502
2.027000,0.637580931,0.905778646,7.820894241,1.167457819,-0.040660169,-0.208676502
2.048000,0.560925603,0.364400476,5.621845245,1.167457819,-0.040660169,-0.208676502
2.087000,1.030439377,1.092625976,3.073055983,1.019386172,0.141499892,-0.036103815
2.107000,1.322687745,1.346546650,2.747270823,-0.025637388,0.065866187,0.107706755
2.129000,1.087930918,1.087834954,3.135338306,-0.025637388,0.065866187,0.107706755
2.150000,1.202913880,1.020761609,3.772535801,-0.689296544,0.251222014,0.209972054
2.188000,1.811365366,0.929733396,5.353551388,-0.882109225,0.441904187,0.214233115
2.208000,1.725128174,0.014660615,6.637527943,-1.011006117,0.610215843,0.222755224
2.230000,1.389761209,-0.176977664,8.343109131,-1.247494578,0.595302165,0.180144683
2.251000,1.111885667,-0.277587771,10.144508362,-1.247494578,0.595302165,0.180144683
2.288000,1.111885667,-1.015395164,12.774744034,-1.368934631,0.634716928,0.237668917
2.308000,0.819637299,-1.230988264,13.929365158,-1.094096661,0.495167345,0.050182529
2.330000,0.268677205,-1.556773305,14.724663734,-0.942829251,0.349226266,0.003310934
2.351000,-0.114599362,-1.695711017,15.587036133,-0.942829251,0.349226266,0.003310934
2.388000,-0.339774340,-1.872976422,16.645837784,-0.621119678,0.004080897,0.043790951
2.408000,-0.282282859,-1.724456787,16.880594254,-0.380370140,-0.126946509,0.043790951
2.429000,-0.248746157,-1.556773305,16.516481400,0.313116401,-0.424155056,0.095988855
2.452000,-0.243955195,-1.686129093,15.730764389,0.313116401,-0.424155056,0.095988855
2.489000,0.062666059,-1.575937152,13.364031792,1.168523073,-0.436938226,0.012898306
2.510000,0.393242091,-1.379507899,11.907580376,1.447622061,-0.412437141,0.032073051
2.530000,0.766936779,-1.024977088,10.297819138,1.620194793,-0.380479246,0.066161476
2.551000,1.111885667,-0.761474431,8.913232803,1.727786422,-0.350651860,0.072553061
