t,ax,ay,az,gx,gy,gz
0.000000,0.010228630,-0.004521923,9.742694240,-0.003150684,-0.009300182,-0.002133019
0.033000,0.008482934,0.020737582,9.808865360,0.002489027,0.003947696,0.001853267
0.067000,0.017105019,0.010127697,9.667868554,0.004988180,-0.016913646,-0.017438881
0.100000,-0.009363786,0.006108920,9.704716688,-0.000459117,0.005209749,-0.006422347
0.133000,0.007883090,-0.013222747,9.762784340,0.017175303,0.005566094,0.011970052
0.167000,-0.014790318,-0.006880934,9.714612316,-0.001064213,0.006320787,0.002484273
0.200000,-0.019138246,-0.010411806,9.721670874,0.012209213,-0.008079464,0.002447587
0.233000,-0.029794863,0.000969487,9.763905653,0.013062436,-0.020143638,-0.003215939
0.267000,-0.016345206,0.009947800,9.735946536,-0.000622799,-0.014646567,0.008278459
0.300000,0.018916836,0.028811948,9.773527769,0.003622437,0.001192742,-0.012991681
0.333000,-0.012235178,-0.009054038,9.769775053,-0.012647878,-0.009676143,-0.005311211
0.367000,-0.040635841,-0.029154111,9.802521533,0.002393511,0.014433498,0.005784970
0.400000,-0.050364697,0.007147944,9.642294270,-0.007362619,-0.011197866,0.009773712
0.433000,0.003145038,0.004915530,9.791727417,0.004343628,0.015940041,0.006190286
0.467000,0.010954751,-0.031366210,9.762051755,0.012817335,0.009551021,0.005296237
0.500000,-0.012673601,0.016846072,9.637040506,-0.018112143,-0.001840222,0.010195277
0.533000,0.032202124,0.011039279,9.669922733,-0.001501388,0.003248668,0.006498310
0.567000,0.022913205,-0.013230891,9.741381410,-0.004147362,0.010416846,0.000267989
0.600000,0.018929105,0.029309951,9.691348278,-0.004448261,-0.013799932,-0.001347482
0.633000,-0.005959993,0.028095406,9.728058762,-0.010269365,0.012605866,-0.012683220
0.667000,0.012630426,0.022573806,9.696422419,0.008590024,0.003452247,0.001423563
0.700000,0.011505605,-0.003523949,9.743787400,0.002774360,0.005727265,0.000008395
0.733000,0.011317563,0.040212644,9.774873091,0.003249426,-0.004275930,-0.003725512
0.767000,0.018475692,-0.006731274,9.736648371,0.003858260,0.018373013,-0.025646795
0.800000,0.004877940,0.007966708,9.681853965,0.002385733,-0.004311515,0.006551462
0.833000,-0.010441027,0.048601078,9.753014529,0.003551329,-0.005542290,-0.000994486
